,GradientBoosting,ExtraTrees,SVC,RandomForest,XGBoost
Sample_1,0.9833333333333333,0.9966666666666667,0.6766666666666666,0.9966666666666667,0.9933333333333333
Sample_2,0.9966666666666667,0.9966666666666667,0.6966666666666667,1.0,0.9933333333333333
Sample_3,0.98,0.9966666666666667,0.6633333333333333,0.9966666666666667,0.99
Sample_4,0.9833333333333333,0.9966666666666667,0.6666666666666666,0.99,0.9833333333333333
Sample_5,0.9933333333333333,1.0,0.6766666666666666,0.9966666666666667,0.9933333333333333
